Date	Category	Non-Capital	Capital	% Business Use	Business Cost	Nett GST	GST Paid	Notes
30 Nov 2023	HEALTH EXPENSES	$56.78	-	100%	$56.78	$56.78	-	Medication
03 Jan 2024	HEALTH EXPENSES	$56.05	-	100%	$56.05	$56.05	-	Medication 
30 Nov 2023	HEALTH EXPENSES	$56.78	-	100%	$56.78	$56.78	-	LIVELIFE PHARMACY COORO COOROY
02 Dec 2023	HEALTH EXPENSES	$23.98	-	100%	$23.98	$23.98	-	LIVELIFE PHARMACY COORO COOROY
04 Dec 2023	HEALTH EXPENSES	$150.00	-	100%	$150.00	$150.00	-	Maxillofacial treatment(Pamela) - after Medicare rebate
05 Dec 2023	HEALTH EXPENSES	$750.00	-	100%	$750.00	$750.00	-	Excess payment on medical expenses
06 Dec 2023	HEALTH EXPENSES	$50.68	-	100%	$50.68	$50.68	-	Medication
06 Dec 2023	HEALTH EXPENSES	$50.68	-	100%	$50.68	$50.68	-	LIVELIFE PHARMACY COORO COOROY
17 Jul 2023	HEALTH EXPENSES	$43.58	-	0%	-	-	-	Medication
07 Dec 2023	HEALTH EXPENSES	$1,050.00	-	100%	$1,050.00	$1,050.00	-	DR IAN YOUNG WARANA - not reimburse d by health fund
23 Feb 2024	HEALTH EXPENSES	$27.08	-	100%	$27.08	$27.08	-	Medication
08 Nov 2023	HEALTH EXPENSES	$95.00	-	100%	$95.00	$95.00	-	Surgery consultation - Pamela amt after Medicare benefit
23 Apr 2024	HEALTH EXPENSES	$205.00	-	100%	$205.00	$205.00	-	Dental expense Oral examination recumbent crown
24 Apr 2024	HEALTH EXPENSES	$694.00	-	100%	$694.00	$694.00	-	Optometrist - not refunded by health fund
15 Nov 2023	HEALTH EXPENSES	$750.00	-	100%	$750.00	$750.00	-	Excess for hospital admission (Pamela)
22 Nov 2023	HEALTH EXPENSES	$21.99	-	100%	$21.99	$19.99	$2.00	Vitamin Bs - used to help prevent skin cancer
10 May 2024	HEALTH EXPENSES	$4.49	-	100%	$4.49	$4.49	-	NEWMARKETWHOLELIFEPCY - Visa Purchase - Receipt 132501In NEWMARKET Date 09 May 2024 Card 462263xxxxxx1990
10 May 2024	HEALTH EXPENSES	$66.14	-	100%	$66.14	$66.14	-	NEWMARKETWHOLELIFEPCY - Visa Purchase - Receipt 132500In NEWMARKET Date 09 May 2024 Card 462263xxxxxx1990
17 May 2024	HEALTH EXPENSES	$63.60	-	100%	$63.60	$63.60	-	Noosa skin clinic amt not paid by Medicare
20 May 2024	HEALTH EXPENSES	$105.00	-	100%	$105.00	$105.00	-	Skin Medical Clinic Noosa Heads
21 May 2024	HEALTH EXPENSES	$52.74	-	100%	$52.74	$52.74	-	Medication
21 May 2024	HEALTH EXPENSES	$5,358.37	-	100%	$5,358.37	$5,358.37	-	Australian Unity Health membership
21 May 2024	HEALTH EXPENSES	$107.00	-	100%	$107.00	$107.00	-	Optometry consultation
31 May 2024	HEALTH EXPENSES	$20.09	-	100%	$20.09	$20.09	-	FARMACIA INTERNAZIONALE - Visa Purchase - Receipt 169751Foreign Currency Amount EUR 12.29In FIRENZE Date 29 May 2024 Card 462263xxxxxx7489
02 Jun 2024	HEALTH EXPENSES	$19.48	-	100%	$19.48	$19.48	-	FARMACIA INTERNAZIONALE - Visa Purchase - Receipt 152643Foreign Currency Amount EUR 11.9In FIRENZE Date 31 May 2024 Card 462263xxxxxx1990
06 Mar 2024	HEALTH EXPENSES	$7.99	-	100%	$7.99	$7.99	-	NEWMARKET DISCOUNT DRUG NEWMARKET
05 Jun 2024	HEALTH EXPENSES	$15.86	-	100%	$15.86	$15.86	-	FARMACIA INTERNAZIONALE - Visa Purchase - Receipt 186098Foreign Currency Amount EUR 9.7In ROMA Date 01 Jun 2024 Card 462263xxxxxx1990
20 Jun 2024	HEALTH EXPENSES	$53.35	-	100%	$53.35	$53.35	-	FARMAKEIO G KAI AKORRES V - Visa Purchase - Receipt 199165Foreign Currency Amount EUR 32.9In KOLOKOTRON Date 17 Jun 2024 Card 462263xxxxxx7489
02 Oct 2023	HEALTH EXPENSES	$86.39	-	100%	$86.39	$86.39	-	Maple Street Surgery Cooroy
02 Oct 2023	HEALTH EXPENSES	$250.00	-	100%	$250.00	$250.00	-	DR DAVID SHARP GREENSLOPES - nt reimbursed by ehalth fund
09 Mar 2024	HEALTH EXPENSES	$32.48	-	100%	$32.48	$32.48	-	Antibiotic and robutussin for Chets infection
09 Mar 2024	HEALTH EXPENSES	$32.48	-	100%	$32.48	$32.48	-	NEWMARKET DISCOUNT DRUG NEWMARKET
12 Mar 2024	HEALTH EXPENSES	$59.00	-	100%	$59.00	$59.00	-	LIVELIFE PHA NOOSACIV - Visa Purchase - Receipt 196560In NOOSAVILLE Date 09 Mar 2024 Card 462263xxxxxx7489
20 Mar 2024	HEALTH EXPENSES	$26.02	-	100%	$26.02	$26.02	-	JOHN BELL PHARMACY 
06 Apr 2024	HEALTH EXPENSES	$31.60	-	100%	$31.60	$31.60	-	LIVELIFE PHARMACY COORO COOROY
20 Oct 2023	HEALTH EXPENSES	$43.58	-	100%	$43.58	$43.58	-	LIVELIFE PHARMACY COORO COOROY
25 Oct 2023	HEALTH EXPENSES	$8.99	-	100%	$8.99	$8.99	-	NEWMARKET DISCOUNT DRUG NEWMARKET
25 Oct 2023	HEALTH EXPENSES	$6.50	-	100%	$6.50	$6.50	-	LIVELIFE PHA NOOSACIV NOOSAVILLE
03 Nov 2023	INSURANCE	$1,837.56	-	100%	$1,837.56	$1,670.51	$167.05	Insurance on Honda and Toyota Hills
24 Jun 2024	MEMBERSHIP OF PROFESSIONAL SOCIETIES AND COLLEGES	$499.99	-	100%	$499.99	$454.54	$45.45	AVANT MUTUAL SYDNEY medical defence insurance
04 Sep 2023	MEMBERSHIP OF PROFESSIONAL SOCIETIES AND COLLEGES	$995.00	-	100%	$995.00	$904.55	$90.45	Australian Health Practitioners Registration - AHPRA MELBOURNE
18 Nov 2023	NOOSA COUNCIL	$15.00	-	100%	$15.00	$13.64	$1.36	Waste tip
26 Jun 2024	OFFICE EXPENSES	$14.99	-	100%	$14.99	$13.63	$1.36	Cloud backup storage
26 Jun 2024	OFFICE EXPENSES	$129.99	-	100%	$129.99	$118.17	$11.82	Cloud backup storage
26 Jul 2023	OFFICE EXPENSES	$14.99	-	100%	$14.99	$13.63	$1.36	Cloud backup storage
16 Aug 2023	OFFICE EXPENSES	$47.95	-	100%	$47.95	$43.59	$4.36	Parallelss software licence fee
21 Dec 2023	OFFICE EXPENSES	$145.90	-	100%	$145.90	$132.64	$13.26	DVD burner stereo headphones 
26 Apr 2024	OFFICE EXPENSES	$14.99	-	100%	$14.99	$13.63	$1.36	Cloud backup storage
22 Aug 2023	OFFICE EXPENSES	$65.45	-	100%	$65.45	$59.50	$5.95	Software purchase
24 Jan 2024	OFFICE EXPENSES	$100.11	-	100%	$100.11	$91.01	$9.10	Software for managing books published on-line
24 Jan 2024	OFFICE EXPENSES	$52.80	-	100%	$52.80	$48.00	$4.80	YARDWORX EQUIP COOROY 1 COOROY
26 Feb 2024	OFFICE EXPENSES	$14.99	-	100%	$14.99	$13.63	$1.36	Cloud backup storage
26 Dec 2023	OFFICE EXPENSES	$14.99	-	100%	$14.99	$13.63	$1.36	Cloud backup storage
26 Jan 2024	OFFICE EXPENSES	$14.99	-	100%	$14.99	$13.63	$1.36	Cloud backup storage
13 Sep 2023	OFFICE EXPENSES	$159.97	-	100%	$159.97	$145.43	$14.54	Software development package
15 Nov 2023	OFFICE EXPENSES	$39.99	-	100%	$39.99	$36.35	$3.64	Computer cable ILOVE COMPUTERS MOOLOOLABA
26 Sep 2023	OFFICE EXPENSES	$14.99	-	100%	$14.99	$13.63	$1.36	Cloud backup storage
01 Dec 2023	OFFICE EXPENSES	$98.95	-	100%	$98.95	$89.95	$9.00	Apple AirTag and four AirTag holders
05 Oct 2023	OFFICE EXPENSES	$11.58	-	100%	$11.58	$10.53	$1.05	software purchase
26 Mar 2024	OFFICE EXPENSES	$14.99	-	100%	$14.99	$13.63	$1.36	Cloud backup storage
04 Aug 2023	OFFICE EXPENSES	$86.96	-	100%	$86.96	$79.05	$7.91	Software purchase
30 Mar 2024	OFFICE EXPENSES	$3.90	-	100%	$3.90	$3.55	$0.35	WHITE MARKER PEN 
14 Oct 2023	OFFICE EXPENSES	$30.99	-	100%	$30.99	$28.17	$2.82	APPLE.COM BILL SYDNEY
03 Apr 2024	OFFICE EXPENSES	$174.99	-	100%	$174.99	$159.08	$15.91	APPLE.COM BILL SYDNEY
03 Jan 2024	OFFICE EXPENSES	$17.98	-	100%	$17.98	$16.35	$1.63	APPLE.COM BILL SYDNEY
21 Oct 2023	OFFICE EXPENSES	$49.99	-	100%	$49.99	$45.45	$4.54	APPLE.COM BILL SYDNEY
15 Dec 2023	OFFICE EXPENSES	$30.95	-	100%	$30.95	$28.14	$2.81	Software for managing books published on-line
14 Apr 2024	OFFICE EXPENSES	$139.37	-	100%	$139.37	$126.70	$12.67	Parallels Desktop for Mac Standard 
26 Oct 2023	OFFICE EXPENSES	$14.99	-	100%	$14.99	$13.63	$1.36	Cloud backup storage
26 Nov 2023	OFFICE EXPENSES	$14.99	-	100%	$14.99	$13.63	$1.36	Cloud backup storage
05 Jul 2023	OFFICE EXPENSES	$60.99	-	100%	$60.99	$55.45	$5.54	BBEdit - software for editing text documents
11 Jan 2024	OFFICE EXPENSES	$56.71	-	100%	$56.71	$51.55	$5.16	MACPAW clean my Mac software licence
19 May 2024	OFFICE EXPENSES	$101.26	-	100%	$101.26	$92.05	$9.21	Software purchase
03 Mar 2024	OFFICE EXPENSES	$166.49	-	100%	$166.49	$151.35	$15.14	Software for language translation
21 May 2024	OFFICE EXPENSES	$113.98	-	100%	$113.98	$103.62	$10.36	2 terabyte hard disk backup for computer
26 May 2024	OFFICE EXPENSES	$99.35	-	100%	$99.35	$90.32	$9.03	Software licence
02 Jun 2024	OFFICE EXPENSES	$24.98	-	100%	$24.98	$22.71	$2.27	computer cable APPLE.COM BILL SYDNEY
21 Jun 2024	OFFICE EXPENSES	$14.50	-	100%	$14.50	$13.18	$1.32	VOLTA CHARGER GOLD COAST - Phone charger
22 Jun 2024	OFFICE EXPENSES	$19.56	-	100%	$19.56	$17.78	$1.78	AIRALO - e-Sim for use of phone travelling abroad
11 Oct 2023	PAMELA EXPENSES	$30.00	-	100%	$30.00	$27.27	$2.73	ANZ MOBILE BANKING PAYMENT 986128 TO FR Andersen
03 Apr 2024	PAMELA EXPENSES	$100.95	-	100%	$100.95	$91.77	$9.18	Pamelas - Home office internet at Pines Rd
09 Dec 2023	PAMELA EXPENSES	$51.80	-	100%	$51.80	$47.09	$4.71	Hire of rooms for client interviews - Woolworths business centre
18 Oct 2023	PAMELA EXPENSES	$30.00	-	100%	$30.00	$27.27	$2.73	ANZ MOBILE BANKING PAYMENT 381585 TO FR Andersen
18 Oct 2023	PAMELA EXPENSES	$20.00	-	100%	$20.00	$18.18	$1.82	QLD LAW SOCIETY BRISBANE
28 Dec 2023	PAMELA EXPENSES	$3.00	-	100%	$3.00	$2.73	$0.27	Hire of rooms for client interviews - Woolworths business centre
23 Oct 2023	PAMELA EXPENSES	$244.06	-	100%	$244.06	$221.87	$22.19	Hire of venue for client interviews
25 Oct 2023	PAMELA EXPENSES	$30.00	-	100%	$30.00	$27.27	$2.73	ANZ MOBILE BANKING PAYMENT 689539 TO FR Andersen
17 Apr 2024	PAMELA EXPENSES	$12,500.00	-	100%	$12,500.00	$11,363.64	$1,136.36	 Lexon Insurance
05 Jan 2024	PAMELA EXPENSES	$100.95	-	100%	$100.95	$91.77	$9.18	Pamelas - Home office internet at Pines Rd
05 Feb 2024	PAMELA EXPENSES	$100.95	-	100%	$100.95	$91.77	$9.18	Pamelas - Home office internet at Pines Rd
13 Sep 2023	PAMELA EXPENSES	$30.00	-	100%	$30.00	$27.27	$2.73	ANZ MOBILE BANKING PAYMENT 644415 TO FR Andersen
14 Feb 2024	PAMELA EXPENSES	$79.95	-	100%	$79.95	$72.68	$7.27	THE TRUSTEE FOR WALTER NOOSAVILLE - EFTPOS Purchase - Receipt 3149Date 14 Feb 2024 Time 3 02PM Card 462263xxxxxx1990
27 Sep 2023	PAMELA EXPENSES	$219.08	-	100%	$219.08	$199.16	$19.92	WOOLWORTHS BUSINESS CTR E NOOSAVILLE Hire for seeing clients
03 Dec 2023	PAMELA EXPENSES	$100.95	-	100%	$100.95	$91.77	$9.18	Pamelas - Home office internet at Pines Rd
04 Oct 2023	PAMELA EXPENSES	$100.95	-	100%	$100.95	$91.77	$9.18	Pamelas - Home office internet at Pines Rd
04 Oct 2023	PAMELA EXPENSES	$30.00	-	100%	$30.00	$27.27	$2.73	ANZ MOBILE BANKING PAYMENT 605909 TO FR Andersen
15 Jul 2023	PAMELA EXPENSES	$99.95	-	100%	$99.95	$90.86	$9.09	Home office WiFi WWW.SKYMESH.NET.AU MOUNT GRAVATT
09 Oct 2023	PAMELA EXPENSES	$28.60	-	100%	$28.60	$26.00	$2.60	Hire of venue for client interviews
04 Nov 2023	PAMELA EXPENSES	$100.95	-	100%	$100.95	$91.77	$9.18	Pamelas - Home office internet at Pines Rd
09 Nov 2023	PAMELA EXPENSES	$300.00	-	100%	$300.00	$272.73	$27.27	 Payment to FR Andersen
11 Nov 2023	PAMELA EXPENSES	$109.91	-	100%	$109.91	$99.92	$9.99	Hire of rooms for client interviews - Woolworths business centre
01 Aug 2023	PAMELA EXPENSES	$99.95	-	100%	$99.95	$90.86	$9.09	Pamelas - Home office internet at Pines Rd
14 Nov 2023	PAMELA EXPENSES	$32.00	-	100%	$32.00	$29.09	$2.91	Hire of rooms for client interviews - Woolworths business centre
03 May 2024	PAMELA EXPENSES	$100.95	-	100%	$100.95	$91.77	$9.18	Pamelas - Home office internet at Pines Rd
20 Nov 2023	PAMELA EXPENSES	$299.36	-	100%	$299.36	$272.15	$27.21	Hire of venue for client interviews
06 May 2024	PAMELA EXPENSES	$2,140.00	-	100%	$2,140.00	$1,945.45	$194.55	QLD LAW SOCIETY BRISBANE
12 Jan 2024	PAMELA EXPENSES	$55.14	-	100%	$55.14	$50.13	$5.01	Hire of rooms for client interviews - Woolworths business centre
04 Mar 2024	PAMELA EXPENSES	$100.95	-	100%	$100.95	$91.77	$9.18	Pamelas - Home office internet at Pines Rd
02 Jun 2024	PAMELA EXPENSES	$100.95	-	100%	$100.95	$91.77	$9.18	Pamelas - Home office internet at Pines Rd
04 Jun 2024	PAMELA EXPENSES	$10,000.00	-	100%	$10,000.00	$9,090.91	$909.09	 BN Law Ltd Law Practice Trust Ac settlement Cochrane
05 Jun 2024	PAMELA EXPENSES	$16,250.00	-	100%	$16,250.00	$14,772.73	$1,477.27	 BN Law Ltd Law Practice Trust Ac settlement Cochrane
12 Feb 2024	PAMELAS CAR USED FOR COOROY LEGAL CENTRE	$323.84	-	80%	$259.07	$235.52	$23.55	*REPLACEMENT CAR KEYS Kedron
15 Nov 2023	PAMELAS CAR USED FOR COOROY LEGAL CENTRE	$797.70	-	80%	$638.16	$580.14	$58.02	TRANSPORTMAINRDS BRISBANE
04 Jan 2024	PAMELAS SAAB CONVERTABLE  	$840.95	-	0%	-	-	-	Registration
03 Jul 2023	POSTAGE AND STATIONERY	$4.50	-	100%	$4.50	$4.09	$0.41	Stationery
09 Nov 2023	POSTAGE AND STATIONERY	$25.94	-	100%	$25.94	$23.58	$2.36	Postage
19 Feb 2024	POSTAGE AND STATIONERY	$43.90	-	100%	$43.90	$39.91	$3.99	AP NOOSA CIVIC PS NOOSAVILLE
27 Dec 2023	POSTAGE AND STATIONERY	$10.69	-	100%	$10.69	$9.72	$0.97	AP COOROY LPO COOROY
22 Nov 2023	POSTAGE AND STATIONERY	$19.49	-	100%	$19.49	$17.72	$1.77	Postage
25 Nov 2023	PRIVATE PRACTICE CAR	$131.93	-	75%	$98.95	$89.95	$9.00	Fuel
01 Oct 2023	PRIVATE PRACTICE CAR	$25.54	-	75%	$19.16	$17.41	$1.74	LINKT BRISBANE BRISBANE
06 Aug 2023	PRIVATE PRACTICE CAR	$137.25	-	75%	$102.94	$93.58	$9.36	Fuel
10 Jul 2023	PRIVATE PRACTICE CAR	$53.41	-	75%	$40.06	$36.41	$3.65	Diesel 
01 Oct 2023	PRIVATE PRACTICE CAR	$142.09	-	75%	$106.57	$96.88	$9.69	Fuel
01 Oct 2023	PRIVATE PRACTICE CAR	$11.50	-	75%	$8.62	$7.84	$0.78	Fuel
01 Oct 2023	PRIVATE PRACTICE CAR	$110.92	-	75%	$83.19	$75.63	$7.56	Fuel
11 Aug 2023	PRIVATE PRACTICE CAR	$111.33	-	75%	$83.50	$75.91	$7.59	FUEL
11 Aug 2023	PRIVATE PRACTICE CAR	$69.56	-	75%	$52.17	$47.43	$4.74	Fuel
27 Nov 2023	PRIVATE PRACTICE CAR	$36.87	-	75%	$27.65	$25.14	$2.51	LINKT BRISBANE BRISBANE
11 Aug 2023	PRIVATE PRACTICE CAR	$25.54	-	75%	$19.16	$17.41	$1.74	LINKT BRISBANE BRISBANE
29 Nov 2023	PRIVATE PRACTICE CAR	$82.60	-	75%	$61.95	$56.32	$5.63	Fuel
04 Jul 2023	PRIVATE PRACTICE CAR	$25.54	-	75%	$19.16	$17.41	$1.74	LINKT BRISBANE BRISBANE
15 Aug 2023	PRIVATE PRACTICE CAR	$118.10	-	75%	$88.58	$80.52	$8.05	Fuel
24 Nov 2023	PRIVATE PRACTICE CAR	$808.89	-	75%	$606.67	$551.52	$55.15	Car service
28 Jul 2023	PRIVATE PRACTICE CAR	$76.84	-	75%	$57.63	$52.39	$5.24	Fuel
18 Aug 2023	PRIVATE PRACTICE CAR	$86.77	-	75%	$65.08	$59.16	$5.92	Fuel
30 Jul 2023	PRIVATE PRACTICE CAR	$25.54	-	75%	$19.16	$17.41	$1.74	LINKT BRISBANE BRISBANE
24 Aug 2023	PRIVATE PRACTICE CAR	$82.39	-	75%	$61.79	$56.17	$5.62	Fuel
18 Nov 2023	PRIVATE PRACTICE CAR	$142.33	-	75%	$106.75	$97.04	$9.71	Diesel
05 Sep 2023	PRIVATE PRACTICE CAR	$123.61	-	75%	$92.71	$84.28	$8.43	Fuel
07 Sep 2023	PRIVATE PRACTICE CAR	$25.54	-	75%	$19.16	$17.41	$1.74	LINKT BRISBANE BRISBANE
12 Sep 2023	PRIVATE PRACTICE CAR	$145.81	-	75%	$109.36	$99.42	$9.94	Fuel
19 Sep 2023	PRIVATE PRACTICE CAR	$4.40	-	75%	$3.30	$3.00	$0.30	Fuel
19 Sep 2023	PRIVATE PRACTICE CAR	$89.73	-	75%	$67.30	$61.18	$6.12	Fuel
19 Sep 2023	PRIVATE PRACTICE CAR	$25.54	-	75%	$19.16	$17.41	$1.74	LINKT BRISBANE BRISBANE
19 Sep 2023	PRIVATE PRACTICE CAR	$67.12	-	75%	$50.34	$45.76	$4.58	Fuel
14 Jul 2023	PRIVATE PRACTICE CAR	$106.49	-	75%	$79.87	$72.61	$7.26	Diesel
02 Oct 2023	PRIVATE PRACTICE CAR	$76.09	-	75%	$57.07	$51.88	$5.19	Fuel
05 Oct 2023	PRIVATE PRACTICE CAR	$134.25	-	75%	$100.69	$91.54	$9.15	NIGHTOWL FUEL PTY LTD NOOSAVILLE
10 Oct 2023	PRIVATE PRACTICE CAR	$56.12	-	75%	$42.09	$38.26	$3.83	Fuiel
11 Oct 2023	PRIVATE PRACTICE CAR	$87.87	-	75%	$65.90	$59.91	$5.99	Fuel
11 Oct 2023	PRIVATE PRACTICE CAR	$25.54	-	75%	$19.16	$17.41	$1.74	LINKT BRISBANE BRISBANE
17 Jul 2023	PRIVATE PRACTICE CAR	$403.23	-	75%	$302.42	$274.93	$27.50	Car service
13 Oct 2023	PRIVATE PRACTICE CAR	$110.67	-	75%	$83.00	$75.46	$7.55	Fuel
08 Dec 2023	PRIVATE PRACTICE CAR	$125.74	-	75%	$94.31	$85.73	$8.57	Fuel
13 Oct 2023	PRIVATE PRACTICE CAR	$122.55	-	75%	$91.91	$83.56	$8.36	Fuel
13 Oct 2023	PRIVATE PRACTICE CAR	$25.54	-	75%	$19.16	$17.41	$1.74	LINKT BRISBANE BRISBANE
13 Oct 2023	PRIVATE PRACTICE CAR	$17.98	-	75%	$13.48	$12.26	$1.22	SUPER CHEAP AUTO WINDSOR
16 Oct 2023	PRIVATE PRACTICE CAR	$122.82	-	75%	$92.11	$83.74	$8.37	Fuel
17 Jul 2023	PRIVATE PRACTICE CAR	$79.10	-	75%	$59.33	$53.93	$5.39	Fuel BP COOROY SUPERMART COOROY
18 Jul 2023	PRIVATE PRACTICE CAR	$104.21	-	75%	$78.16	$71.05	$7.11	Fuel for car
09 Dec 2023	PRIVATE PRACTICE CAR	$92.36	-	75%	$69.27	$62.97	$6.30	Fuel NIGHTOWL - NOOSAVILLE - Visa Purchase - Receipt 117415In NOOSAVILLE Date 08 Dec 2023 Card 462263xxxxxx7489
18 Jul 2023	PRIVATE PRACTICE CAR	$25.54	-	75%	$19.16	$17.41	$1.74	LINKT BRISBANE BRISBANE
18 Jul 2023	PRIVATE PRACTICE CAR	$86.10	-	75%	$64.58	$58.70	$5.87	Fuel KELVIN GROVE
15 Dec 2023	PRIVATE PRACTICE CAR	$88.84	-	75%	$66.63	$60.57	$6.06	Fuel
15 Dec 2023	PRIVATE PRACTICE CAR	$133.05	-	75%	$99.79	$90.71	$9.07	Fuel
15 Dec 2023	PRIVATE PRACTICE CAR	$25.54	-	75%	$19.16	$17.41	$1.74	LINKT BRISBANE BRISBANE
18 Dec 2023	PRIVATE PRACTICE CAR	$107.59	-	75%	$80.69	$73.36	$7.34	Fuel
26 Oct 2023	PRIVATE PRACTICE CAR	$86.62	-	75%	$64.97	$59.06	$5.91	Fuel
02 Nov 2023	PRIVATE PRACTICE CAR	$72.99	-	75%	$54.74	$49.77	$4.98	Fuiel
18 Dec 2023	PRIVATE PRACTICE CAR	$25.54	-	75%	$19.16	$17.41	$1.74	LINKT BRISBANE BRISBANE
18 Dec 2023	PRIVATE PRACTICE CAR	$7.95	-	75%	$5.96	$5.42	$0.54	Fuel
18 Dec 2023	PRIVATE PRACTICE CAR	$66.49	-	75%	$49.87	$45.33	$4.53	Fuel
20 Dec 2023	PRIVATE PRACTICE CAR	$137.99	-	75%	$103.49	$94.08	$9.41	Fuel
25 Dec 2023	PRIVATE PRACTICE CAR	$25.54	-	75%	$19.16	$17.41	$1.74	LINKT BRISBANE BRISBANE
28 Dec 2023	PRIVATE PRACTICE CAR	$81.41	-	75%	$61.06	$55.51	$5.55	Fuel
09 Jan 2024	PRIVATE PRACTICE CAR	$25.54	-	75%	$19.16	$17.41	$1.74	LINKT BRISBANE BRISBANE
11 Jan 2024	PRIVATE PRACTICE CAR	$96.18	-	75%	$72.14	$65.58	$6.55	Diesel
11 Jan 2024	PRIVATE PRACTICE CAR	$41.58	-	75%	$31.18	$28.35	$2.83	Diesel
19 Jan 2024	PRIVATE PRACTICE CAR	$85.10	-	75%	$63.83	$58.02	$5.80	Fuel - CALTEX NAMBOUR - Visa Purchase - Receipt 188216In NAMBOUR Date 16 Jan 2024 Card 462263xxxxxx1990
24 Jan 2024	PRIVATE PRACTICE CAR	$84.00	-	75%	$63.00	$57.27	$5.73	Fuel
25 Jan 2024	PRIVATE PRACTICE CAR	$104.80	-	75%	$78.60	$71.45	$7.15	Fuel for car
25 Jan 2024	PRIVATE PRACTICE CAR	$25.54	-	75%	$19.16	$17.41	$1.74	LINKT BRISBANE BRISBANE
30 Jan 2024	PRIVATE PRACTICE CAR	$69.78	-	75%	$52.34	$47.58	$4.76	Fuel
30 Jan 2024	PRIVATE PRACTICE CAR	$25.54	-	75%	$19.16	$17.41	$1.74	LINKT BRISBANE BRISBANE
31 Jan 2024	PRIVATE PRACTICE CAR	$76.78	-	75%	$57.59	$52.35	$5.24	Fuel
02 Feb 2024	PRIVATE PRACTICE CAR	$78.15	-	75%	$58.61	$53.28	$5.33	Fuel
07 Feb 2024	PRIVATE PRACTICE CAR	$114.54	-	75%	$85.91	$78.10	$7.81	Fuel
09 Feb 2024	PRIVATE PRACTICE CAR	$25.54	-	75%	$19.16	$17.41	$1.74	LINKT BRISBANE BRISBANE
15 Feb 2024	PRIVATE PRACTICE CAR	$90.99	-	75%	$68.24	$62.04	$6.20	Fuel
16 Feb 2024	PRIVATE PRACTICE CAR	$98.00	-	75%	$73.50	$66.82	$6.68	Roadside assistance RACQ NOOSA NOOSAVILLE
18 Feb 2024	PRIVATE PRACTICE CAR	$113.03	-	75%	$84.77	$77.06	$7.71	Fuel
18 Feb 2024	PRIVATE PRACTICE CAR	$50.25	-	75%	$37.69	$34.26	$3.43	Fuel
19 Feb 2024	PRIVATE PRACTICE CAR	$199.50	-	75%	$149.62	$136.02	$13.61	Renewal of registration QUEENSLAND TRANSPORT TEWANTIN
20 Feb 2024	PRIVATE PRACTICE CAR	$50.25	-	75%	$37.69	$34.26	$3.43	Fuel AUSSIE WORLD GARAGE - Visa Purchase - Receipt 122477In PALMVIEW Date 18 Feb 2024 Card 462263xxxxxx1990
21 Feb 2024	PRIVATE PRACTICE CAR	$87.70	-	75%	$65.78	$59.80	$5.98	Fuel
27 Feb 2024	PRIVATE PRACTICE CAR	$87.70	-	75%	$65.78	$59.80	$5.98	Fuel
28 Feb 2024	PRIVATE PRACTICE CAR	$53.75	-	75%	$40.31	$36.65	$3.67	Fuel
28 Feb 2024	PRIVATE PRACTICE CAR	$53.75	-	75%	$40.31	$36.65	$3.66	Fuel
01 Mar 2024	PRIVATE PRACTICE CAR	$114.28	-	75%	$85.71	$77.92	$7.79	Fuel
01 Mar 2024	PRIVATE PRACTICE CAR	$25.54	-	75%	$19.16	$17.41	$1.74	LINKT BRISBANE BRISBANE
05 Mar 2024	PRIVATE PRACTICE CAR	$113.40	-	75%	$85.05	$77.32	$7.73	Fuel for car
05 Mar 2024	PRIVATE PRACTICE CAR	$112.72	-	75%	$84.54	$76.85	$7.69	Fuel
05 Mar 2024	PRIVATE PRACTICE CAR	$25.54	-	75%	$19.16	$17.41	$1.74	LINKT BRISBANE BRISBANE
05 Mar 2024	PRIVATE PRACTICE CAR	$106.19	-	75%	$79.64	$72.40	$7.24	Fuel
10 Mar 2024	PRIVATE PRACTICE CAR	$130.28	-	75%	$97.71	$88.83	$8.88	Fuel for car
13 Mar 2024	PRIVATE PRACTICE CAR	$1,063.80	-	75%	$797.85	$725.32	$72.53	Car service including replacement of front brake pads and machine rotors
15 Mar 2024	PRIVATE PRACTICE CAR	$96.41	-	75%	$72.31	$65.73	$6.57	FUEL
16 Mar 2024	PRIVATE PRACTICE CAR	$25.54	-	75%	$19.16	$17.41	$1.74	LINKT BRISBANE BRISBANE
21 Mar 2024	PRIVATE PRACTICE CAR	$25.54	-	75%	$19.16	$17.41	$1.74	LINKT BRISBANE BRISBANE
23 Mar 2024	PRIVATE PRACTICE CAR	$25.54	-	75%	$19.16	$17.41	$1.74	LINKT BRISBANE BRISBANE
23 Mar 2024	PRIVATE PRACTICE CAR	$25.54	-	75%	$19.16	$17.41	$1.74	LINKT BRISBANE BRISBANE
28 Mar 2024	PRIVATE PRACTICE CAR	$138.73	-	75%	$104.05	$94.59	$9.46	Fuel
02 Apr 2024	PRIVATE PRACTICE CAR	$25.54	-	75%	$19.16	$17.41	$1.74	LINKT BRISBANE BRISBANE
04 Apr 2024	PRIVATE PRACTICE CAR	$232.55	-	75%	$174.41	$158.56	$15.86	RACQ EIGHT MILE PLAI
10 Apr 2024	PRIVATE PRACTICE CAR	$108.45	-	75%	$81.34	$73.94	$7.39	Fuel 
13 Apr 2024	PRIVATE PRACTICE CAR	$73.63	-	75%	$55.22	$50.20	$5.02	Fuiel
